name,type,station_number,wmo_number,abbreviation,region,longitude,latitude,elevation,start_year,owner,has_forecast
Seltjarnarnes Suðurnes,Automated observational station,1471,-99,selsu,Faxaflói,-22.0325,64.1545,4.5,2019,Veðurstofa Íslands,true
Kópavogur Fossvogsdalur,Automated observational station,1472,-99,fosvd,Faxaflói,-21.8617,64.1163,19.0,2021,Veðurstofa Íslands,true
Straumsvík,Automated observational station,1473,4124,strau,Faxaflói,-22.0404,64.0438,7.0,2001,Veðurstofa Íslands,true
Garðabær Urriðaholt,Automated observational station,1474,-99,uholt,Faxaflói,-21.9107,64.0712,37.0,2019,Veðurstofa Íslands,true
Reykjavík,Automated observational station,1475,4130,reitr,Faxaflói,-21.902,64.1275,52.0,1993,Veðurstofa Íslands,false
Reykjavíkurflugvöllur,Automated observational station,1477,4838,rflug,Faxaflói,-21.9407,64.1284,12.0,2000,Veðurstofa Íslands,true
Reykjavík Geirsnef,Automated observational station,1478,-99,genef,Faxaflói,-21.8392,64.1292,4.0,2019,Veðurstofa Íslands,true
Korpa,Automated observational station,1479,4132,korpa,Faxaflói,-21.7511,64.1505,35.0,1994,Veðurstofa Íslands,true
Geldinganes,Automated observational station,1480,4880,geldn,Faxaflói,-21.8038,64.1678,35.0,2004,Veðurstofa Íslands,true
Hólmsheiði,Automated observational station,1481,4920,holms,Faxaflói,-21.6864,64.1085,130.0,2006,Veðurstofa Íslands,true
Reykjavík Víðidalur,Automated observational station,1482,-99,vidal,Faxaflói,-21.7971,64.1035,71.0,2018,Veðurstofa Íslands,true
Bláfjöll,Automated observational station,1486,4138,blafj,Faxaflói,-21.6661,63.969,530.0,1997,Veðurstofa Íslands,true
Bláfjallaskáli,Automated observational station,1487,4852,blafs,Faxaflói,-21.6497,63.9831,530.0,2001,Veðurstofa Íslands,false
Hellisskarð,Automated observational station,1490,4862,hells,Faxaflói,-21.3665,64.0333,380.0,2001,Veðurstofa Íslands,true
Ölkelduháls,Automated observational station,1493,4864,olkel,Faxaflói,-21.2532,64.0553,360.0,2001,Veðurstofa Íslands,true
Skarðsmýrarfjall,Automated observational station,1496,4922,skamy,Faxaflói,-21.3469,64.0567,597.0,2006,Veðurstofa Íslands,false
Skrauthólar,Automated observational station,1578,4818,skrau,Faxaflói,-21.8046,64.2318,20.0,2001,Veðurstofa Íslands,true
Skálafell,Automated observational station,1590,4136,sfell,Faxaflói,-21.4633,64.2405,771.0,1995,Veðurstofa Íslands,true
Þingvellir,Automated observational station,1596,4142,tingv,South,-21.0875,64.2807,110.0,1996,Veðurstofa Íslands,true
Skarðsheiði Miðfitjahóll,Automated observational station,1679,4904,skahe,Faxaflói,-21.7621,64.4902,471.29998779296875,2009,Landsnet,true
Þyrill,Automated observational station,1685,4806,tyril,Faxaflói,-21.4169,64.3877,61.5,2003,Veðurstofa Íslands,true
Hvanneyri búveðurstöð,Automated observational station,1777,-99,hveyb,Faxaflói,-21.7746,64.5616,11.0,2022,Veðurstofa Íslands,true
Stafholtsey,Automated observational station,1781,4034,stfey,Faxaflói,-21.5893,64.643,14.0,2018,Veðurstofa Íslands,true
Fíflholt á Mýrum,Automated observational station,1868,4914,fiflh,Faxaflói,-22.1473,64.6943,55.70000076293945,2006,Veðurstofa Íslands,true
Gufuskálar,Automated observational station,1919,4104,gufus,Breiðafjörður,-23.9316,64.9041,7.0,1994,Veðurstofa Íslands,true
Ólafsvík,Automated observational station,1924,4106,olvik,Breiðafjörður,-23.7162,64.8957,19.0,2000,Veðurstofa Íslands - Ofanflóð,true
Bláfeldur,Automated observational station,1936,4110,blafe,Faxaflói,-23.3018,64.8393,13.100000381469727,2003,Veðurstofa Íslands,true
Grundarfjörður,Automated observational station,1938,4108,grufj,Breiðafjörður,-23.2513,64.9213,5.699999809265137,2003,Veðurstofa Íslands,true
Stykkishólmur,Automated observational station,2050,4122,stykk,Breiðafjörður,-22.7324,65.0717,12.399999618530273,2002,Veðurstofa Íslands,false
Ásgarður,Automated observational station,2175,4133,asgar,Breiðafjörður,-21.7543,65.2297,47.900001525878906,2003,Veðurstofa Íslands,true
Reykir í Hrútafirði,Automated observational station,2197,-99,rhrut,North West,-21.0978,65.2543,9.800000190734863,2003,Veðurstofa Íslands,true
Reykhólar,Automated observational station,2266,4129,rehol,Breiðafjörður,-22.2056,65.4377,6.400000095367432,2004,Veðurstofa Íslands - Ofanflóð,true
Bjargtangar,Automated observational station,2304,4101,bjarg,Breiðafjörður,-24.5312,65.5029,35.0,1994,Vegagerðin,true
Lambavatn,Automated observational station,2315,4809,lamba,Breiðafjörður,-24.0925,65.4924,4.0,2006,Veðurstofa Íslands,true
Patreksfjörður,Automated observational station,2319,4103,patro,Breiðafjörður,-23.9748,65.5951,43.0,1996,Veðurstofa Íslands - Ofanflóð,true
Tálknafjörður,Automated observational station,2323,4905,talkn,Breiðafjörður,-23.8302,65.6276,8.5,2008,Veðurstofa Íslands - Ofanflóð,true
Bíldudalur,Automated observational station,2428,4125,bildu,West fjords,-23.6122,65.6794,16.0,1998,Veðurstofa Íslands - Ofanflóð,true
Hólmavík,Automated observational station,2481,4935,holma,North West,-21.6813,65.6873,10.0,2007,Veðurstofa Íslands,true
Hólar í Dýrafirði,Automated observational station,2530,4007,holar,West fjords,-23.5578,65.8686,16.0,2020,Veðurstofa Íslands,true
Suðureyri,Automated observational station,2630,-99,seyri,West fjords,-23.5077,66.1251,2.0,2021,Veðurstofa Íslands - Ofanflóð,true
Flateyri,Automated observational station,2631,-99,feyri,West fjords,-23.51,66.0498,3.0,1997,Veðurstofa Íslands - Ofanflóð,true
Þverfjall,Automated observational station,2636,4109,tverf,West fjords,-23.3074,66.0444,741.0,1990,Veðurstofa Íslands - Ofanflóð,true
Seljalandsdalur,Automated observational station,2640,4107,selja,West fjords,-23.1987,66.076,550.0,1995,Veðurstofa Íslands - Ofanflóð,false
Seljalandsdalur - skíðaskáli,Automated observational station,2641,4819,selsk,West fjords,-23.2103,66.0687,283.0,2005,Veðurstofa Íslands - Ofanflóð,true
Ísafjörður,Automated observational station,2642,4117,isafj,West fjords,-23.1699,66.0596,2.200000047683716,1998,Veðurstofa Íslands - Ofanflóð,false
Ísafjörður Tungudalur,Automated observational station,2644,-99,isaft,West fjords,-23.1847,66.06,4.0,2023,Veðurstofa Íslands - Ofanflóð,true
Súðavík,Automated observational station,2646,4111,sudav,West fjords,-22.986,66.0426,10.899999618530273,1995,Veðurstofa Íslands - Ofanflóð,true
Æðey,Automated observational station,2655,4017,aedey,West fjords,-22.6594,66.1006,21.0,2012,Veðurstofa Íslands,true
Litla-Ávík,Automated observational station,2691,-99,lavik,North West,-21.4247,66.0211,8.100000381469727,2022,Veðurstofa Íslands,false
Gjögurflugvöllur,Automated observational station,2692,4131,gjogr,North West,-21.3304,65.9951,28.100000381469727,1994,Veðurstofa Íslands,true
Gjögur,Automated observational station,2693,-99,gjogu,North West,-21.3278,65.9968,25.600000381469727,2016,Veðurstofa Íslands - Ofanflóð,false
Bolungarvík,Automated observational station,2738,4005,bolun,West fjords,-23.2538,66.161,27.0,1999,Veðurstofa Íslands - Ofanflóð,true
Hornbjargsviti,Automated observational station,2862,4123,hornb,North West,-22.3789,66.4107,22.0,1995,Vegagerðin,true
Straumnesviti,Automated observational station,2941,4121,strnv,West fjords,-23.1345,66.4305,7.0,1995,Vegagerðin,true
Austurárdalsháls,Automated observational station,3007,4945,audal,North West,-20.6961,65.123,383.0,2009,Landsnet,true
Sáta,Automated observational station,3054,4861,satax,Central,-18.8383,65.0628,785.0,1992,Veðurstofa Íslands,true
Haugur,Automated observational station,3103,4143,haugr,North West,-20.785,65.1839,118.30000305175781,2003,Veðurstofa Íslands,true
Brúsastaðir,Automated observational station,3223,4147,brusa,North West,-20.2473,65.3784,20.0,2003,Veðurstofa Íslands,true
Kolka,Automated observational station,3225,4149,kolka,Central,-19.7177,65.2307,506.0,1993,Landsvirkjun,true
Blönduvirkjun,Automated observational station,3229,-99,blduv,North West,-19.8211,65.4165,351.0,2024,Landsvirkjun,true
Nautabú,Automated observational station,3242,4135,nauta,North West,-19.3691,65.4583,111.5,2004,Veðurstofa Íslands,true
Svartárkot,Automated observational station,3292,4153,svkot,North East,-17.2465,65.3419,403.3999938964844,2003,Landsnet,true
Blönduós,Automated observational station,3317,4045,bldos,North West,-20.2925,65.658,8.0,2003,Veðurstofa Íslands,true
Langamýri sólgeislun,Automated observational station,3339,-99,langm,North West,-19.4234,65.5593,13.0,2024,Veðurstofa Íslands,false
Torfur,Automated observational station,3371,4061,torfr,North East,-18.1616,65.501,25.790000915527344,2006,Veðurstofa Íslands,true
Reykir í Fnjóskadal,Automated observational station,3380,4867,reykf,North East,-17.7667,65.5851,211.39999389648438,2000,Veðurstofa Íslands,true
Sauðárkrókur flugvöllur,Automated observational station,3433,4953,skrok,North West,-19.5737,65.7259,0.5,2007,Veðurstofa Íslands,true
Möðruvellir,Automated observational station,3463,4167,modru,North East,-18.2513,65.7707,15.0,1996,Veðurstofa Íslands,true
Akureyri - Krossanesbraut,Automated observational station,3471,4137,akurk,North East,-18.1113,65.6961,30.0,2005,Veðurstofa Íslands,true
Vaðlaheiði,Automated observational station,3474,4163,vadla,North East,-18.0021,65.7483,580.0,1999,Veðurstofa Íslands - Ofanflóð,false
Végeirsstaðir í Fnjóskadal,Automated observational station,3477,4141,vegei,North East,-17.8857,65.817,130.3000030517578,2001,Veðurstofa Íslands,true
Björg í Kinn,Automated observational station,3585,-99,utkin,North East,-17.5919,65.9454,4.0,2022,Veðurstofa Íslands - Ofanflóð,true
Staðarhóll,Automated observational station,3591,4069,sholl,North East,-17.3446,65.821,40.0,2012,Veðurstofa Íslands,true
Ólafsfjörður,Automated observational station,3658,4155,olfjo,North East,-18.6656,66.0739,5.0,1997,Veðurstofa Íslands - Ofanflóð,true
Húsavík,Automated observational station,3696,4171,husvk,North East,-17.3281,66.0418,28.200000762939453,2002,Veðurstofa Íslands,true
Skagatá,Automated observational station,3720,4151,skagt,North West,-20.0989,66.1192,9.0,1996,Vegagerðin,true
Sauðanesviti,Automated observational station,3751,-99,saudv,North West,-18.9534,66.1845,35.0,2020,Veðurstofa Íslands,false
Siglufjörður,Automated observational station,3752,4157,sifjo,North West,-18.919,66.1349,6.0,1995,Veðurstofa Íslands - Ofanflóð,true
Flatey á Skjálfanda,Automated observational station,3779,4965,flats,North East,-17.8408,66.1631,22.0,2005,Vegagerðin,true
Mánárbakki,Automated observational station,3797,4071,manar,North East,-17.1027,66.1995,17.0,2005,Veðurstofa Íslands,true
Grímsey,Automated observational station,3976,4165,grimy,North East,-18.0167,66.5438,19.0,2005,Veðurstofa Íslands,true
Upptyppingar,Automated observational station,4019,4177,uppty,Central,-16.2104,65.0607,563.0,1999,Veðurstofa Íslands,true
Hallormsstaður,Automated observational station,4060,4189,hallm,Eastern coastal areas,-14.7449,65.0939,60.0,1992,Veðurstofa Íslands,true
Seyðisfjörður,Automated observational station,4182,4195,seydi,East fjords,-14.0064,65.2549,37.0,2014,Veðurstofa Íslands - Ofanflóð,true
Dalatangi,Automated observational station,4193,4197,dalat,East fjords,-13.5751,65.2681,10.0,1994,Veðurstofa Íslands,false
Gagnheiði,Automated observational station,4275,4193,gagnh,East fjords,-14.2589,65.2235,949.0,1993,Veðurstofa Íslands - Ofanflóð,true
Gagnheiði II,Automated observational station,4276,-99,gagnv,East fjords,-14.2589,65.2234,949.0,2022,Veðurstofa Íslands,false
Mývatn,Automated observational station,4300,4173,myvtn,North East,-16.9768,65.6193,282.29998779296875,1996,Veðurstofa Íslands,true
Grímsstaðir á Fjöllum,Automated observational station,4323,4941,grist,North East,-16.1284,65.6423,382.29998779296875,2012,Veðurstofa Íslands,true
Bakkagerði,Automated observational station,4380,-99,bfjeb,Eastern coastal areas,-13.8167,65.5235,28.0,2017,Veðurstofa Íslands - Ofanflóð,false
Krafla,Automated observational station,4406,4987,krafl,North East,-16.7748,65.6945,455.0,2011,Landsvirkjun,true
Skjaldþingsstaðir,Automated observational station,4455,4985,skjal,Eastern coastal areas,-14.8208,65.7036,34.79999923706055,2006,Veðurstofa Íslands,true
Bjarnarey,Automated observational station,4472,4187,bjarn,Eastern coastal areas,-14.3082,65.7857,20.0,1996,Vegagerðin,true
Þeistareykir,Automated observational station,4500,4967,teist,North East,-16.9762,65.911,311.0,2005,Landsvirkjun,true
Ásbyrgi,Automated observational station,4614,4179,asbrg,North East,-16.4833,66.03,31.5,1998,Veðurstofa Íslands,true
Miðfjarðarnes,Automated observational station,4652,4983,midfj,Eastern coastal areas,-15.0799,66.0668,25.0,2008,Veðurstofa Íslands,true
Raufarhöfn,Automated observational station,4828,4077,raufa,North East,-15.9527,66.456,4.0,2005,Veðurstofa Íslands,true
Möðrudalur,Automated observational station,4830,4181,modal,Eastern coastal areas,-15.8833,65.3754,452.0,2003,Veðurstofa Íslands,true
Fontur,Automated observational station,4867,4183,fontr,North East,-14.5326,66.3783,43.0,1994,Veðurstofa Íslands,true
Rauðinúpur,Automated observational station,4912,4175,raudi,North East,-16.5444,66.5082,59.29999923706055,1997,Veðurstofa Íslands,true
Rif á Melrakkasléttu,Automated observational station,4921,-99,rifms,North East,-16.1441,66.5115,10.0,2018,Rannsóknastöðin RIF,true
Ingólfshöfði,Automated observational station,5210,4884,ingol,South East,-16.6509,63.8028,57.20000076293945,2004,Vegagerðin,true
Fagurhólsmýri,Automated observational station,5309,4072,fagho,South East,-16.6364,63.8743,9.300000190734863,2003,Veðurstofa Íslands,true
Kvísker,Automated observational station,5316,4970,ksker,South East,-16.4366,63.9777,30.0,2008,Veðurstofa Íslands,false
Höfn í Hornafirði,Automated observational station,5544,4082,hofnh,South East,-15.2135,64.2691,5.0,2007,Veðurstofa Íslands,true
Papey,Automated observational station,5777,4194,papey,East fjords,-14.1747,64.5911,49.0,1998,Vegagerðin,true
Brúaröræfi,Automated observational station,5825,4978,bruor,Central,-16.0897,64.8281,748.2000122070312,2006,Landsvirkjun,true
Teigarhorn,Automated observational station,5872,4184,teiga,East fjords,-14.3444,64.6757,20.700000762939453,2001,Veðurstofa Íslands,true
Kambanes,Automated observational station,5885,4196,kamba,East fjords,-13.8423,64.8012,29.799999237060547,1994,Veðurstofa Íslands,true
Kárahnjúkar,Automated observational station,5933,4176,karah,Central,-15.7771,64.9284,639.0,1998,Landsvirkjun,true
Brú á Jökuldal,Automated observational station,5940,4169,brujd,Eastern coastal areas,-15.5297,65.1086,373.0,1998,Veðurstofa Íslands,true
Eyjabakkar,Automated observational station,5943,4178,eyjab,Central,-15.4235,64.8151,655.3200073242188,1997,Landsvirkjun,true
Hallormsstaðaháls,Automated observational station,5960,4190,hhals,Central,-14.6748,65.0795,573.1099853515625,1996,Landsnet,true
Þórudalur,Automated observational station,5965,-99,thord,East fjords,-14.5711,65.0364,300.0,2017,Landsnet,true
Hallsteinsdalsvarp,Automated observational station,5970,4981,halls,East fjords,-14.4535,65.0182,634.0,2007,Landsnet,true
Kollaleira í Reyðarfirði,Automated observational station,5975,4186,kolla,East fjords,-14.2395,65.0367,44.0,2000,Veðurstofa Íslands,true
Eskifjörður,Automated observational station,5981,4185,eskif,East fjords,-14.037,65.0763,2.0,1998,Veðurstofa Íslands - Ofanflóð,true
Fáskrúðsfjörður Ljósaland,Automated observational station,5982,4998,faskr,East fjords,-14.0407,64.9372,8.0,2007,Veðurstofa Íslands - Ofanflóð,true
Vattarnes,Automated observational station,5988,4188,vatta,East fjords,-13.6846,64.937,5.300000190734863,2000,Veðurstofa Íslands,true
Neskaupstaður,Automated observational station,5990,4199,nkaup,East fjords,-13.6706,65.1509,43.5,1999,Veðurstofa Íslands - Ofanflóð,true
Seley,Automated observational station,5993,4198,seley,East fjords,-13.5192,64.9778,18.0,1996,Vegagerðin,true
Surtsey,Automated observational station,6012,4102,surte,South,-20.5995,63.2993,36.0,2009,Veðurstofa Íslands,true
Vestmannaeyjabær,Automated observational station,6015,4146,vestb,South,-20.2758,63.4359,40.400001525878906,2002,Veðurstofa Íslands,true
Stórhöfði,Automated observational station,6017,4048,storh,South,-20.2882,63.3996,118.0,1997,Veðurstofa Íslands,true
Vatnsskarðshólar,Automated observational station,6045,4164,vskho,South,-19.1837,63.424,10.0,2003,Veðurstofa Íslands,false
Önundarhorn,Automated observational station,6134,4938,onund,South,-19.6357,63.5242,12.0,2010,Veðurstofa Íslands,true
Skarðsfjöruviti,Automated observational station,6176,4170,skafj,South East,-17.9785,63.5179,6.0,1994,Vegagerðin,true
Þykkvibær,Automated observational station,6208,4144,opart,South,-20.6182,63.7477,10.0,1996,Veðurstofa Íslands,true
Sámsstaðir,Automated observational station,6222,4152,samst,South,-20.1091,63.7354,90.0,2000,Veðurstofa Íslands,true
Básar á Goðalandi,Automated observational station,6237,4052,basar,South,-19.4814,63.6791,239.0,2008,Veðurstofa Íslands,true
Kirkjubæjarklaustur Stjórnarsandur,Automated observational station,6272,4064,klaus,South East,-18.0119,63.793,22.0,2004,Veðurstofa Íslands,true
Selfoss,Automated observational station,6300,-99,sfoss,South,-20.9707,63.9355,20.0,2019,Veðurstofa Íslands,true
Kálfhóll,Automated observational station,6310,4804,kalfh,South,-20.5669,63.9628,52.0,2003,Veðurstofa Íslands,true
Hella,Automated observational station,6315,4944,hella,South,-20.3654,63.8257,20.0,2006,Veðurstofa Íslands,true
Árnes,Automated observational station,6420,4820,arnes,South,-20.2521,64.0405,87.0,2003,Veðurstofa Íslands,true
Mörk á Landi,Automated observational station,6424,4948,morla,South,-20.0189,64.0293,125.0,2008,Veðurstofa Íslands,true
Búrfell,Automated observational station,6430,4154,bfell,South,-19.7449,64.1168,249.0,1993,Landsvirkjun,true
Lónakvísl,Automated observational station,6459,-99,lonak,Central,-18.6141,64.0981,675.0,1999,Landsvirkjun,true
Laufbali,Automated observational station,6472,4872,laufb,Central,-18.1196,64.0255,555.5999755859375,1993,Veðurstofa Íslands,true
Skaftafell,Automated observational station,6499,4172,skaft,South East,-16.9721,64.0144,86.0,1995,Veðurstofa Íslands,true
Hjarðarland,Automated observational station,6515,4942,hjard,South,-20.3312,64.2509,88.0,2004,Veðurstofa Íslands,true
Vatnsfell,Automated observational station,6546,4950,vfell,Central,-19.0467,64.1956,539.5,2004,Landsvirkjun,true
Veiðivatnahraun,Automated observational station,6657,4162,veivh,Central,-18.5048,64.3951,647.0,1993,Landsvirkjun,true
Jökulheimar,Automated observational station,6670,4166,jheim,Central,-18.2208,64.3163,726.0,1993,Landsvirkjun,true
Kerlingarfjöll - Ásgarðsfjall,Automated observational station,6745,-99,asgfj,Central,-19.2827,64.681,925.0,2017,Veðurstofa Íslands,false
Setur,Automated observational station,6748,4158,setur,Central,-19.0186,64.6043,693.0,1997,Landsvirkjun,true
Þúfuver,Automated observational station,6760,4160,tuver,Central,-18.5987,64.5819,620.0,1993,Landsvirkjun,true
Hágöngur syðri,Automated observational station,6775,-99,hagsy,Central,-18.1897,64.536,789.0,2024,Landsvirkjun,false
Húsafell,Automated observational station,6802,4150,husaf,Faxaflói,-20.869,64.699,132.8000030517578,1998,Veðurstofa Íslands,true
Hveravellir,Automated observational station,6935,4056,hvell,Central,-19.5622,64.8668,641.0,1996,Veðurstofa Íslands,true
Sandbúðir,Automated observational station,6975,4168,sandb,Central,-17.9889,64.9331,820.0,1993,Landsvirkjun,true
Fagradals-Hagafell,Automated observational station,7001,-99,faer1,Faxaflói,-22.2496,63.9207,270.0,2023,Veðurstofa Íslands,true
Vaðlaheiði II,Automated observational station,7472,-99,vadlv,North East,-18.0021,65.7483,580.0,2022,Veðurstofa Íslands,false
Þverfjall II,Automated observational station,7636,-99,tverv,West fjords,-23.3076,66.0448,741.0,2020,Veðurstofa Íslands,false
Ólafsfjörður - Tindaöxl,Automated observational station,7659,4955,olfti,North East,-18.6309,66.063,450.0,2006,Veðurstofa Íslands - Ofanflóð,false
Bolungarvík - Traðargil,Automated observational station,7736,4927,boltr,West fjords,-23.2681,66.1684,500.0,2006,Veðurstofa Íslands - Ofanflóð,false
Siglufjörður Hafnarfjall,Automated observational station,7753,4957,sifhf,North West,-18.9352,66.1535,550.0,2006,Veðurstofa Íslands - Ofanflóð,false
Markalækur,Automated observational station,26400,-99,mlaek,South,-20.9842,64.077,36.0,2024,Einkastöð,false
Miklidalur,Automated observational station,31122,4801,mikli,Breiðafjörður,-23.8552,65.5807,370.0,2009,Vegagerðin,true
Gíghæð,Automated observational station,31361,-99,gigha,Faxaflói,-22.4218,63.9032,63.0,2024,Vegagerðin,true
Reykjanesbraut,Automated observational station,31363,4822,rbrau,Faxaflói,-22.2296,64.0027,25.0,1995,Vegagerðin,true
Festarfjall,Automated observational station,31365,4911,festf,South,-22.3436,63.8595,135.0,2012,Vegagerðin,true
Kleifarvatn,Automated observational station,31372,-99,kleva,South,-22.0158,63.919,152.0,2025,Vegagerðin,false
Sveifluháls,Automated observational station,31374,-99,sveif,South,-21.9457,63.9664,179.5,2024,Vegagerðin,false
Selvogur,Automated observational station,31380,4986,selvg,South,-21.6959,63.8456,20.0,2012,Vegagerðin,true
Þrengsli,Automated observational station,31387,4858,treng,South,-21.4633,63.9876,260.0,1997,Vegagerðin,true
Hellisheiði,Automated observational station,31392,4836,hellh,South,-21.3424,64.0188,360.0,1992,Vegagerðin,true
Ingólfsfjall,Automated observational station,31399,4924,ingfj,South,-21.0633,63.9574,51.0,2006,Vegagerðin,true
Garðabær - Kauptún,Automated observational station,31475,-99,kaupt,Faxaflói,-21.9029,64.0797,42.0,2017,Vegagerðin,true
Sandskeið,Automated observational station,31488,4854,sansk,Faxaflói,-21.5577,64.0624,180.0,2012,Vegagerðin,true
Akrafjall,Automated observational station,31572,4926,akrfj,Faxaflói,-21.966,64.3105,37.0,2009,Vegagerðin,true
Blikdalsá,Automated observational station,31577,-99,blikd,Faxaflói,-21.8329,64.2664,46.0,2012,Vegagerðin,true
Tíðaskarð,Automated observational station,31578,-99,tidas,Faxaflói,-21.812,64.287,65.0,2020,Vegagerðin,true
Kjalarnes,Automated observational station,31579,4848,kjaln,Faxaflói,-21.7667,64.2106,10.0,1998,Vegagerðin,true
Mosfellsheiði,Automated observational station,31591,4918,moshe,Faxaflói,-21.3448,64.214,270.0,2012,Vegagerðin,true
Gjábakki,Automated observational station,31599,-99,gjabk,South,-21.023,64.2481,132.0,2012,Vegagerðin,true
Reykjanesviti,Automated observational station,31640,-99,rviti,Faxaflói,-22.7043,63.8156,20.0,2021,Vegagerðin,true
Hafnarfjall,Automated observational station,31674,4832,hfnfj,Faxaflói,-21.9603,64.4755,25.0,1995,Vegagerðin,true
Hraunsmúli,Automated observational station,31840,4808,hramu,Faxaflói,-23.1894,64.8221,10.0,1999,Vegagerðin,true
Kolás,Automated observational station,31882,4902,kolas,Faxaflói,-21.6359,64.6956,66.0,2012,Vegagerðin,true
Fróðárheiði,Automated observational station,31931,4802,frohe,Breiðafjörður,-23.4807,64.8479,361.0,1995,Vegagerðin,true
Búlandshöfði,Automated observational station,31932,4908,bulah,Breiðafjörður,-23.5033,64.9366,25.0,2010,Vegagerðin,true
Kolgrafafjarðarbrú,Automated observational station,31942,4812,kolbr,Breiðafjörður,-23.126,64.9665,3.0,2005,Vegagerðin,true
Vatnaleið,Automated observational station,31948,4810,vatna,Faxaflói,-22.8649,64.9095,226.0,2001,Vegagerðin,true
Stórholt,Automated observational station,31950,4936,sholt,Breiðafjörður,-22.8085,64.9859,70.0,2012,Vegagerðin,true
Hafursfell,Automated observational station,31958,4909,hafur,Faxaflói,-22.5328,64.831,65.0,2009,Vegagerðin,true
Brattabrekka,Automated observational station,31985,4856,bratt,Breiðafjörður,-21.5154,64.8716,390.0,1998,Vegagerðin,true
Holtavörðuheiði,Automated observational station,32097,4839,holta,North West,-21.0576,64.9899,370.0,1995,Vegagerðin,true
Svínadalur í Dölum,Automated observational station,32179,4817,svina,Breiðafjörður,-21.7396,65.3058,230.0,2002,Vegagerðin,true
Laxárdalsheiði,Automated observational station,32190,4851,laxhe,Breiðafjörður,-21.3277,65.2066,200.0,2000,Vegagerðin,true
Kleifaheiði,Automated observational station,32224,4803,klehe,Breiðafjörður,-23.7211,65.5172,400.0,1996,Vegagerðin,true
Flatey á Breiðafirði,Automated observational station,32250,-99,flatb,Breiðafjörður,-22.9286,65.3719,6.0,2023,Vegagerðin,true
Hálfdán,Automated observational station,32322,4805,halfd,Breiðafjörður,-23.7106,65.6444,525.0,1995,Vegagerðin,true
Hrafnanes,Automated observational station,32336,-99,hrans,Breiðafjörður,-23.3172,65.4918,30.0,2025,Vegagerðin,false
Klettsháls,Automated observational station,32355,4823,klett,Breiðafjörður,-22.6088,65.655,330.0,1999,Vegagerðin,true
Hallsteinsnes,Automated observational station,32363,-99,hastn,Breiðafjörður,-22.3345,65.5292,6.0,2024,Vegagerðin,false
Gillastaðamelar,Automated observational station,32372,-99,gilla,Breiðafjörður,-22.0234,65.5277,72.0,2009,Vegagerðin,true
Þröskuldar,Automated observational station,32377,4916,thros,Breiðafjörður,-21.833,65.5524,370.0,2009,Vegagerðin,true
Ennisháls,Automated observational station,32390,4833,ennis,North West,-21.329,65.5724,260.0,1998,Vegagerðin,true
Steingrímsfjarðarheiði,Automated observational station,32474,4829,stehe,West fjords,-22.1291,65.7503,440.0,1995,Vegagerðin,true
Gemlufallsheiði,Automated observational station,32533,4906,gemlu,West fjords,-23.4364,65.94,250.0,2009,Vegagerðin,true
Botn í Súgandafirði,Automated observational station,32635,4943,botis,West fjords,-23.3733,66.0808,270.0,2012,Vegagerðin,true
Ögur,Automated observational station,32654,4813,oguri,West fjords,-22.6817,66.0449,40.0,1997,Vegagerðin,true
